manual_interval_id,predicted_interval_id,window_index,channel_index,channel,manual_start_seconds_in_recording,manual_end_seconds_in_recording,predicted_start_seconds_in_recording,predicted_end_seconds_in_recording,manual_duration_seconds,predicted_duration_seconds,overlap_seconds,union_seconds,interval_iou,interval_dice,start_error_seconds,end_error_seconds,center_error_seconds,duration_error_seconds,predicted_mean_probability,predicted_max_probability
manual_ground_truth_w0133_c02_i000,m3_improved_prediction_w0133_c02_i002,133,2,Fp2,665.0,667.088,665.696,667.96,2.088,2.2640000000000002,1.391999999999939,2.9600000000000364,0.47027027027024393,0.6397058823529131,0.6960000000000264,0.8720000000000709,0.7839999999999918,0.17600000000000016,0.7504130005836487,0.9463324546813965
manual_ground_truth_w0133_c03_i000,m3_improved_prediction_w0133_c03_i004,133,3,AF3,665.0,667.088,666.156,666.5,2.088,0.3440000000000001,0.34400000000005093,2.0879999999999654,0.16475095785443325,0.2828947368421471,1.155999999999949,0.5879999999999654,0.2839999999999918,1.744,0.6995673775672913,0.9249277114868164
manual_ground_truth_w0133_c04_i000,m3_improved_prediction_w0133_c04_i006,133,4,AF4,665.0,667.088,666.0,666.68,2.088,0.6799999999999999,0.67999999999995,2.0879999999999654,0.3256704980842726,0.49132947976875,1.0,0.40800000000001546,0.2959999999999354,1.4080000000000001,0.7798064947128296,0.9417489171028137
manual_ground_truth_w0133_c05_i000,m3_improved_prediction_w0133_c05_i006,133,5,AF7,665.0,667.088,665.996,666.68,2.088,0.6839999999999999,0.6839999999999691,2.0879999999999654,0.32758620689654233,0.49350649350647113,0.9959999999999809,0.40800000000001546,0.2939999999999827,1.4040000000000001,0.739713191986084,0.9169239401817322
manual_ground_truth_w0133_c06_i000,m3_improved_prediction_w0133_c06_i004,133,6,AF8,665.0,667.088,666.0,666.684,2.088,0.6839999999999999,0.6839999999999691,2.0879999999999654,0.32758620689654233,0.49350649350647113,1.0,0.40399999999999636,0.2980000000000018,1.4040000000000001,0.7504037618637085,0.9242841601371765
manual_ground_truth_w0133_c07_i000,m3_improved_prediction_w0133_c07_i003,133,7,Fz,665.0,667.088,665.972,666.752,2.088,0.78,0.7799999999999727,2.0879999999999654,0.3735632183907977,0.5439330543932863,0.97199999999998,0.33600000000001273,0.31799999999998363,1.308,0.7939127683639526,0.9387184977531433
manual_ground_truth_w0133_c08_i000,m3_improved_prediction_w0133_c08_i010,133,8,F1,665.0,667.088,665.996,666.68,2.088,0.6839999999999999,0.6839999999999691,2.0879999999999654,0.32758620689654233,0.49350649350647113,0.9959999999999809,0.40800000000001546,0.2939999999999827,1.4040000000000001,0.7950314283370972,0.9594253301620483
manual_ground_truth_w0133_c09_i000,m3_improved_prediction_w0133_c09_i016,133,9,F2,665.0,667.088,665.988,666.676,2.088,0.688,0.6879999999999882,2.0879999999999654,0.32950191570881204,0.49567723342938635,0.9880000000000564,0.4119999999999209,0.2880000000001246,1.4000000000000001,0.7781888246536255,0.9478569626808167
manual_ground_truth_w0133_c10_i000,m3_improved_prediction_w0133_c10_i006,133,10,F3,665.0,667.088,665.704,666.68,2.088,0.976,0.9759999999999991,2.0879999999999654,0.46743295019157816,0.6370757180156652,0.7039999999999509,0.40800000000001546,0.14800000000002456,1.112,0.7555844783782959,0.9524160027503967
manual_ground_truth_w0133_c11_i000,m3_improved_prediction_w0133_c11_i001,133,11,F4,665.0,667.088,665.144,665.948,2.088,0.8039999999999999,0.8039999999999736,2.0879999999999654,0.3850574712643616,0.5560165975103553,0.14400000000000546,1.1399999999999864,0.4979999999999336,1.2840000000000003,0.5818189382553101,0.8698571920394897
manual_ground_truth_w0133_c12_i000,m3_improved_prediction_w0133_c12_i011,133,12,F5,665.0,667.088,665.98,666.684,2.088,0.704,0.7039999999999509,2.0879999999999654,0.3371647509578365,0.5042979942693058,0.9800000000000182,0.40399999999999636,0.2880000000000109,1.3840000000000001,0.8283929228782654,0.9638236165046692
manual_ground_truth_w0133_c13_i000,m3_improved_prediction_w0133_c13_i016,133,13,F6,665.0,667.088,665.996,666.684,2.088,0.688,0.6879999999999882,2.0879999999999654,0.32950191570881204,0.49567723342938635,0.9959999999999809,0.40399999999999636,0.2959999999999354,1.4000000000000001,0.8313262462615967,0.9820752739906311
manual_ground_truth_w0133_c14_i000,m3_improved_prediction_w0133_c14_i012,133,14,F7,665.0,667.088,665.98,666.744,2.088,0.764,0.76400000000001,2.0879999999999654,0.3659003831417733,0.5357643758765848,0.9800000000000182,0.34399999999993724,0.3180000000000973,1.324,0.8269989490509033,0.964145839214325
manual_ground_truth_w0133_c15_i000,m3_improved_prediction_w0133_c15_i006,133,15,F8,665.0,667.088,665.976,666.804,2.088,0.8280000000000001,0.8279999999999745,2.0879999999999654,0.3965517241379254,0.5679012345678837,0.9759999999999991,0.2839999999999918,0.34600000000000364,1.26,0.7874621748924255,0.9608727097511292
manual_ground_truth_w0133_c16_i000,m3_improved_prediction_w0133_c16_i005,133,16,FCz,665.0,667.088,665.988,666.692,2.088,0.704,0.7039999999999509,2.0879999999999654,0.3371647509578365,0.5042979942693058,0.9880000000000564,0.39599999999995816,0.2960000000000491,1.3840000000000001,0.8147255182266235,0.9674298167228699
manual_ground_truth_w0133_c17_i000,m3_improved_prediction_w0133_c17_i011,133,17,FC1,665.0,667.088,665.968,666.684,2.088,0.716,0.7160000000000082,2.0879999999999654,0.3429118773946456,0.5106990014265393,0.9679999999999609,0.40399999999999636,0.2820000000000391,1.372,0.8133081197738647,0.978696346282959
manual_ground_truth_w0133_c18_i000,m3_improved_prediction_w0133_c18_i015,133,18,FC2,665.0,667.088,665.968,666.732,2.088,0.764,0.76400000000001,2.0879999999999654,0.3659003831417733,0.5357643758765848,0.9679999999999609,0.35599999999999454,0.30599999999992633,1.324,0.8054466247558594,0.9711191654205322
