sample_in_window,time_seconds_in_window,absolute_time_seconds_in_recording,Fpz,Fp1,Fp2,AF3,AF4,AF7,AF8,Fz,F1,F2,F3,F4,F5,F6,F7,F8,FCz,FC1,FC2,FC3,FC4,FC5,FC6,FT7,FT8,Cz,C1,C2,C3,C4,C5,C6,T7,T8,CP1,CP2,CP3,CP4,CP5,CP6,TP7,TP8,Pz,P3,P4,P5,P6,P7,P8,POz,PO3,PO4,PO5,PO6,PO7,PO8,Oz,O1,O2
20,0.08,306.08,-17413.508,-29664.996,-19218.158,-9211.022,-22203.613,-20487.654,-18141.08,6695.62,-13130.747,3579.3823,-937.88464,-26230.82,-16594.988,-11924.389,-23730.164,-17971.965,538.30707,-6315.762,-7949.7954,-1258.0769,-19924.688,9235.361,-30145.285,1677.0192,-32815.81,-15677.253,-159.95264,9327.06,-1005.5309,-20719.154,7275.8745,-6464.584,-3143.1526,-25467.17,2929.9783,-5106.3975,-968.70123,-3240.864,-5219.893,2329.4297,-29325.262,-34431.05,-24683.225,-6962.9116,-1594.0533,-29372.613,-1626.3732,-29929.568,-36122.207,-32819.566,-33822.234,-36271.03,-33662.89,-29550.75,-29605.617,-32660.223,-32064.184,-30180.611,-33919.945
21,0.084,306.084,-17413.508,-29663.492,-19218.158,-9212.525,-22201.36,-20487.654,-18143.336,6694.868,-13130.747,3577.8792,-940.1395,-26235.33,-16592.732,-11923.638,-23730.164,-17968.959,538.30707,-6315.762,-7949.0435,-1256.5737,-19928.445,9236.113,-30153.553,1679.274,-32809.797,-15677.253,-159.95264,9325.557,-1006.28253,-20722.912,7276.626,-6465.3354,-3143.1526,-25466.418,2931.4814,-5108.6523,-968.70123,-3241.6155,-5218.3896,2329.4297,-29323.758,-34426.543,-24683.225,-6962.9116,-1594.0533,-29374.87,-1627.8765,-29929.568,-36122.207,-32819.566,-33821.484,-36274.79,-33665.9,-29554.508,-29604.867,-32657.967,-32069.445,-30179.107,-33924.457
22,0.088,306.088,-17414.258,-29669.506,-19221.918,-9213.277,-22204.365,-20488.406,-18143.336,6694.868,-13133.002,3579.3823,-940.8911,-26233.828,-16593.484,-11922.134,-23732.42,-17968.207,537.5555,-6318.017,-7949.0435,-1258.0769,-19927.693,9236.864,-30153.553,1680.0256,-32808.293,-15679.508,-160.70427,9327.06,-1006.28253,-20724.416,7276.626,-6464.584,-3140.8977,-25467.922,2930.7297,-5109.404,-967.94965,-3242.3672,-5220.6445,2330.1814,-29324.51,-34428.043,-24684.729,-6962.9116,-1594.8049,-29377.875,-1626.3732,-29928.064,-36119.953,-32819.566,-33822.99,-36272.53,-33668.152,-29553.004,-29603.363,-32659.47,-32068.693,-30178.355,-33923.703
23,0.092,306.092,-17414.258,-29672.512,-19225.676,-9213.277,-22206.621,-20488.406,-18143.336,6694.868,-13132.25,3577.8792,-940.1395,-26237.586,-16594.236,-11921.383,-23737.682,-17969.709,538.30707,-6317.2656,-7949.0435,-1258.0769,-19928.445,9236.113,-30152.8,1680.0256,-32809.043,-15679.508,-160.70427,9327.06,-1006.28253,-20721.408,7276.626,-6463.8325,-3140.8977,-25466.418,2929.2266,-5108.6523,-968.70123,-3240.864,-5221.396,2330.9329,-29328.268,-34427.293,-24684.729,-6964.4146,-1594.8049,-29377.875,-1626.3732,-29928.064,-36120.703,-32818.816,-33824.49,-36271.78,-33667.4,-29553.756,-29607.121,-32659.47,-32074.707,-30182.115,-33923.703
24,0.096,306.096,-17415.762,-29664.996,-19221.918,-9214.028,-22206.621,-20489.156,-18146.342,6694.1167,-13132.25,3577.8792,-940.1395,-26237.586,-16594.988,-11924.389,-23736.93,-17971.213,537.5555,-6316.514,-7950.547,-1257.3253,-19928.445,9235.361,-30150.547,1679.274,-32810.547,-15678.756,-160.70427,9326.308,-1005.5309,-20719.906,7277.378,-6465.3354,-3141.6494,-25467.17,2932.2332,-5107.149,-967.94965,-3238.6091,-5219.893,2331.6846,-29326.766,-34425.79,-24683.977,-6962.9116,-1594.0533,-29376.373,-1625.6216,-29925.059,-36120.703,-32820.32,-33821.484,-36271.78,-33659.883,-29554.508,-29604.867,-32659.47,-32067.19,-30179.107,-33922.953
25,0.1,306.1,-17415.01,-29659.734,-19219.662,-9213.277,-22206.621,-20489.156,-18145.59,6694.868,-13131.499,3578.6306,-939.3879,-26230.07,-16594.988,-11922.886,-23736.178,-17972.717,538.30707,-6317.2656,-7949.7954,-1258.8285,-19926.941,9233.858,-30152.8,1677.7708,-32812.05,-15677.253,-160.70427,9327.06,-1006.28253,-20719.154,7275.123,-6463.8325,-3143.9043,-25464.164,2930.7297,-5107.901,-969.4529,-3238.6091,-5220.6445,2332.4363,-29327.518,-34424.285,-24685.48,-6964.4146,-1593.3018,-29376.373,-1624.1184,-29928.064,-36117.7,-32821.07,-33823.74,-36272.53,-33662.14,-29556.01,-29606.37,-32660.223,-32072.451,-30178.355,-33923.703
26,0.104,306.104,-17415.762,-29664.996,-19224.172,-9213.277,-22198.352,-20489.156,-18150.1,6695.62,-13129.995,3574.8726,-938.6362,-26236.082,-16594.988,-11927.3955,-23740.688,-17977.227,538.30707,-6315.762,-7952.0503,-1260.3318,-19929.197,9234.609,-30152.8,1677.7708,-32815.81,-15676.501,-159.20102,9326.308,-1005.5309,-20724.416,7277.378,-6466.0874,-3142.4011,-25476.19,2932.2332,-5107.901,-968.70123,-3240.864,-5220.6445,2329.4297,-29326.766,-34431.05,-24686.232,-6963.663,-1594.8049,-29377.875,-1627.1249,-29928.816,-36126.72,-32818.816,-33823.74,-36273.285,-33662.14,-29558.266,-29607.873,-32665.484,-32070.95,-30178.355,-33922.953
27,0.108,306.108,-17417.266,-29673.264,-19226.428,-9214.028,-22206.621,-20490.66,-18148.596,6694.868,-13131.499,3578.6306,-940.8911,-26240.592,-16594.236,-11927.3955,-23742.941,-17976.475,538.30707,-6316.514,-7949.7954,-1260.3318,-19929.947,9234.609,-30151.297,1677.0192,-32815.06,-15678.756,-160.70427,9326.308,-1006.28253,-20724.416,7275.123,-6463.081,-3143.9043,-25473.936,2929.9783,-5107.901,-969.4529,-3240.864,-5222.148,2329.4297,-29329.02,-34427.293,-24687.734,-6965.918,-1595.5566,-29383.137,-1628.628,-29935.582,-36128.22,-32822.574,-33826.746,-36276.29,-33665.9,-29559.77,-29611.63,-32668.49,-32072.451,-30183.617,-33926.71
28,0.112,306.112,-17418.018,-29671.01,-19227.93,-9211.773,-22206.621,-20490.66,-18153.857,6695.62,-13129.995,3577.1274,-938.6362,-26241.344,-16592.732,-11928.147,-23740.688,-17978.729,539.81036,-6314.2593,-7950.547,-1258.0769,-19932.203,9236.864,-30151.297,1680.7772,-32820.32,-15677.253,-159.95264,9327.06,-1004.77924,-20727.422,7276.626,-6466.0874,-3141.6494,-25474.686,2930.7297,-5110.907,-969.4529,-3242.3672,-5222.8994,2327.1748,-29327.518,-34431.805,-24687.734,-6966.6694,-1597.0598,-29383.137,-1630.1313,-29935.582,-36131.98,-32821.82,-33826.746,-36275.54,-33668.902,-29559.77,-29613.887,-32670.746,-32077.713,-30185.121,-33928.215
29,0.116,306.116,-17418.018,-29666.5,-19227.178,-9212.525,-22208.123,-20491.412,-18157.615,6694.1167,-13130.747,3576.3757,-938.6362,-26243.6,-16594.988,-11930.402,-23739.184,-17982.486,537.5555,-6315.762,-7952.802,-1258.0769,-19935.209,9234.609,-30155.057,1678.5223,-32824.83,-15677.253,-160.70427,9324.805,-1005.5309,-20729.678,7275.8745,-6469.0938,-3143.9043,-25480.7,2931.4814,-5110.156,-968.70123,-3243.119,-5220.6445,2324.1685,-29326.766,-34439.32,-24686.232,-6965.1665,-1597.8115,-29377.875,-1631.6346,-29931.824,-36134.234,-32818.816,-33821.484,-36274.035,-33665.9,-29557.514,-29606.37,-32670.746,-32071.7,-30177.605,-33924.457
30,0.12,306.12,-17416.514,-29660.486,-19222.668,-9213.277,-22208.123,-20492.916,-18156.113,6694.1167,-13129.995,3575.6243,-937.88464,-26237.586,-16596.49,-11928.898,-23736.93,-17980.232,536.80383,-6315.762,-7952.802,-1259.5802,-19932.955,9233.858,-30154.305,1677.0192,-32819.566,-15675.75,-159.95264,9324.053,-1007.78577,-20726.67,7275.8745,-6466.839,-3143.9043,-25479.947,2930.7297,-5111.6587,-970.9561,-3242.3672,-5222.148,2327.1748,-29326.766,-34437.816,-24687.734,-6967.4214,-1597.8115,-29378.627,-1632.3862,-29934.078,-36131.98,-32821.07,-33823.74,-36275.54,-33665.9,-29559.77,-29611.63,-32673.0,-32078.465,-30182.865,-33925.96
31,0.124,306.124,-17418.018,-29664.996,-19222.668,-9214.78,-22209.627,-20492.164,-18152.355,6693.365,-13131.499,3575.6243,-939.3879,-26240.592,-16594.236,-11928.147,-23742.191,-17978.729,536.80383,-6315.762,-7951.2983,-1260.3318,-19932.955,9232.3545,-30152.049,1676.2675,-32816.56,-15674.246,-160.70427,9327.06,-1007.78577,-20723.664,7273.6196,-6466.839,-3145.4075,-25480.7,2929.9783,-5110.156,-971.70776,-3241.6155,-5225.1543,2327.9265,-29329.02,-34436.312,-24688.486,-6967.4214,-1597.8115,-29381.633,-1631.6346,-29936.334,-36134.234,-32820.32,-33823.74,-36277.043,-33666.65,-29559.018,-29612.383,-32672.248,-32076.209,-30183.617,-33926.71
32,0.128,306.128,-17416.514,-29668.754,-19221.918,-9214.028,-22205.87,-20491.412,-18148.596,6694.868,-13131.499,3577.1274,-940.1395,-26241.344,-16594.988,-11924.389,-23742.941,-17974.219,538.30707,-6315.762,-7949.7954,-1260.3318,-19931.451,9234.609,-30149.043,1677.7708,-32812.05,-15675.75,-161.45589,9327.812,-1006.28253,-20723.664,7275.8745,-6463.081,-3142.4011,-25476.941,2929.2266,-5109.404,-970.9561,-3240.1123,-5223.651,2330.9329,-29329.771,-34433.305,-24687.734,-6966.6694,-1595.5566,-29385.393,-1629.3798,-29936.334,-36131.98,-32820.32,-33823.74,-36275.54,-33672.66,-29557.514,-29611.63,-32666.986,-32076.209,-30186.625,-33924.457
33,0.132,306.132,-17416.514,-29670.258,-19224.924,-9214.78,-22206.621,-20491.412,-18149.348,6694.1167,-13133.002,3575.6243,-940.1395,-26242.096,-16595.738,-11925.141,-23742.191,-17974.97,537.5555,-6317.2656,-7952.0503,-1260.3318,-19932.955,9235.361,-30150.547,1677.7708,-32811.3,-15678.005,-161.45589,9326.308,-1006.28253,-20726.67,7275.8745,-6466.0874,-3141.6494,-25476.19,2928.4749,-5109.404,-969.4529,-3241.6155,-5221.396,2330.1814,-29329.771,-34433.305,-24687.734,-6964.4146,-1594.8049,-29385.393,-1628.628,-29930.32,-36127.47,-32819.566,-33820.73,-36277.793,-33670.406,-29556.762,-29605.617,-32665.484,-32072.451,-30179.107,-33922.953
34,0.136,306.136,-17414.258,-29665.748,-19219.662,-9213.277,-22206.621,-20489.908,-18147.094,6693.365,-13133.002,3575.6243,-939.3879,-26238.338,-16597.242,-11924.389,-23740.688,-17971.965,536.80383,-6317.2656,-7952.0503,-1258.8285,-19932.955,9234.609,-30155.057,1679.274,-32809.797,-15676.501,-161.45589,9326.308,-1005.5309,-20724.416,7278.1294,-6465.3354,-3139.3945,-25474.686,2931.4814,-5109.404,-967.198,-3240.1123,-5218.3896,2330.9329,-29322.256,-34430.3,-24685.48,-6962.9116,-1594.8049,-29380.13,-1627.8765,-29929.568,-36131.227,-32818.816,-33821.484,-36274.79,-33668.152,-29557.514,-29604.115,-32667.738,-32075.459,-30180.611,-33924.457
